Class Name,Accuracy
sunglasses,20.0
sunscreen,30.0
suspension bridge,100.0
mop,60.0
sweatshirt,60.0
swim trunks / shorts,70.0
swing,90.0
electrical switch,60.0
syringe,20.0
table lamp,40.0
tank,60.0
tape player,40.0
teapot,80.0
teddy bear,50.0
television,40.0
tennis ball,20.0
thatched roof,80.0
front curtain,60.0
thimble,30.0
threshing machine,30.0
throne,40.0
tile roof,70.0
toaster,20.0
tobacco shop,70.0
toilet seat,20.0
torch,40.0
totem pole,100.0
tow truck,30.0
toy store,60.0
tractor,70.0
semi-trailer truck,70.0
tray,40.0
trench coat,30.0
tricycle,70.0
trimaran,50.0
tripod,60.0
triumphal arch,80.0
trolleybus,90.0
trombone,70.0
hot tub,0.0
turnstile,90.0
typewriter keyboard,80.0
umbrella,40.0
unicycle,60.0
upright piano,60.0
vacuum cleaner,80.0
vase,60.0
vaulted or arched ceiling,40.0
velvet fabric,0.0
vending machine,80.0
vestment,80.0
viaduct,60.0
violin,60.0
volleyball,80.0
waffle iron,20.0
wall clock,60.0
wallet,30.0
wardrobe,40.0
military aircraft,60.0
sink,60.0
washing machine,90.0
water bottle,20.0
water jug,40.0
water tower,100.0
whiskey jug,60.0
whistle,20.0
hair wig,70.0
window screen,20.0
window shade,60.0
Windsor tie,20.0
wine bottle,40.0
airplane wing,60.0
wok,30.0
wooden spoon,50.0
wool,10.0
split-rail fence,40.0
shipwreck,40.0
sailboat,0.0
yurt,70.0
website,80.0
comic book,90.0
crossword,60.0
traffic or street sign,70.0
traffic light,50.0
dust jacket,80.0
menu,100.0
plate,10.0
guacamole,50.0
consomme,90.0
hot pot,80.0
trifle,100.0
ice cream,50.0
popsicle,20.0
baguette,60.0
bagel,40.0
pretzel,60.0
cheeseburger,80.0
hot dog,90.0
mashed potatoes,40.0
cabbage,70.0
broccoli,20.0
cauliflower,50.0
zucchini,60.0
spaghetti squash,60.0
acorn squash,40.0
butternut squash,40.0
cucumber,60.0
artichoke,60.0
bell pepper,60.0
cardoon,20.0
mushroom,20.0
Granny Smith apple,60.0
strawberry,60.0
orange,70.0
lemon,40.0
fig,60.0
pineapple,70.0
banana,50.0
jackfruit,70.0
cherimoya (custard apple),80.0
pomegranate,80.0
hay,50.0
carbonara,80.0
chocolate syrup,60.0
dough,70.0
meatloaf,70.0
pizza,80.0
pot pie,90.0
burrito,80.0
red wine,50.0
espresso,70.0
tea cup,10.0
eggnog,90.0
mountain,20.0
bubble,60.0
cliff,50.0
coral reef,40.0
geyser,100.0
lakeshore,30.0
promontory,40.0
sandbar,30.0
beach,30.0
valley,50.0
volcano,70.0
baseball player,60.0
bridegroom,90.0
scuba diver,60.0
rapeseed,40.0
daisy,80.0
yellow lady's slipper,100.0
corn,70.0
acorn,40.0
rose hip,100.0
horse chestnut seed,50.0
coral fungus,90.0
agaric,90.0
gyromitra,70.0
stinkhorn mushroom,90.0
earth star fungus,70.0
hen of the woods mushroom,90.0
bolete,60.0
corn cob,0.0
toilet paper,40.0
