Class Name,Accuracy
dust jacket,80.0
menu,100.0
plate,8.571428571428571
guacamole,50.0
consomme,80.0
hot pot,80.0
trifle,100.0
ice cream,50.0
popsicle,20.0
baguette,51.42857142857143
bagel,40.0
pretzel,74.28571428571429
cheeseburger,82.85714285714286
hot dog,75.71428571428571
mashed potatoes,40.0
cabbage,70.0
broccoli,30.0
cauliflower,70.0
zucchini,62.857142857142854
spaghetti squash,52.857142857142854
acorn squash,40.0
butternut squash,50.0
cucumber,55.714285714285715
artichoke,60.0
bell pepper,60.0
cardoon,31.428571428571427
mushroom,11.428571428571429
Granny Smith apple,60.0
strawberry,60.0
orange,90.0
lemon,40.0
fig,61.42857142857143
pineapple,70.0
banana,30.0
jackfruit,70.0
cherimoya (custard apple),80.0
pomegranate,90.0
hay,60.0
carbonara,82.85714285714286
chocolate syrup,60.0
dough,70.0
meatloaf,80.0
pizza,80.0
pot pie,90.0
burrito,80.0
red wine,41.42857142857143
espresso,70.0
tea cup,17.142857142857142
eggnog,72.85714285714286
mountain,20.0
bubble,44.285714285714285
cliff,50.0
coral reef,65.71428571428571
geyser,100.0
lakeshore,41.42857142857143
promontory,20.0
sandbar,30.0
beach,50.0
valley,45.714285714285715
volcano,72.85714285714286
baseball player,77.14285714285714
bridegroom,80.0
scuba diver,61.42857142857143
rapeseed,50.0
daisy,88.57142857142857
yellow lady's slipper,100.0
corn,81.42857142857143
acorn,34.285714285714285
rose hip,100.0
horse chestnut seed,44.285714285714285
coral fungus,90.0
agaric,80.0
gyromitra,52.857142857142854
stinkhorn mushroom,90.0
earth star fungus,70.0
hen of the woods mushroom,100.0
bolete,50.0
corn cob,0.0
toilet paper,40.0
